trīstūri,rezolūcija,metode,laiks,vps
81920,32,Skanēšanas Līniju Metode,96.9761,337897
81920,32,Startu Izsekošanas Metode,14.4661,2265154
81920,32,Fragment Ēnotāja metode,2.3839,13745543
81920,32,Skaitļošanas Ēnotāja metode,3.5916,9123459
81920,64,Skanēšanas Līniju Metode,207.4148,1263863
81920,64,Startu Izsekošanas Metode,48.3329,5423713
81920,64,Fragment Ēnotāja metode,4.4816,58493656
81920,64,Skaitļošanas Ēnotāja metode,6.4929,40373946
81920,128,Skanēšanas Līniju Metode,442.6588,4737626
81920,128,Startu Izsekošanas Metode,185.7108,11292566
81920,128,Fragment Ēnotāja metode,18.5509,113048531
81920,128,Skaitļošanas Ēnotāja metode,22.2564,94227003
81920,256,Skanēšanas Līniju Metode,1162.2724,14434839
81920,256,Startu Izsekošanas Metode,688.9648,24351338
81920,256,Fragment Ēnotāja metode,98.5221,170288893
81920,256,Skaitļošanas Ēnotāja metode,240.4677,69769104
327680,4,Skanēšanas Līniju Metode,57.4422,1114
327680,4,Startu Izsekošanas Metode,18.4417,3470
327680,4,Fragment Ēnotāja metode,8.3563,7658
327680,4,Skaitļošanas Ēnotāja metode,9.8232,6515
327680,8,Skanēšanas Līniju Metode,95.8463,5341
327680,8,Startu Izsekošanas Metode,22.1052,23162
327680,8,Fragment Ēnotāja metode,8.3819,61084
327680,8,Skaitļošanas Ēnotāja metode,12.9757,39458
327680,16,Skanēšanas Līniju Metode,185.0816,22130
327680,16,Startu Izsekošanas Metode,24.6706,166027
327680,16,Fragment Ēnotāja metode,10.4017,393781
327680,16,Skaitļošanas Ēnotāja metode,9.4863,431778
327680,32,Skanēšanas Līniju Metode,354.1315,92530
327680,32,Startu Izsekošanas Metode,69.2533,473161
327680,32,Fragment Ēnotāja metode,10.6444,3078437
327680,32,Skaitļošanas Ēnotāja metode,10.1413,3231137
327680,64,Skanēšanas Līniju Metode,717.2557,365481
327680,64,Startu Izsekošanas Metode,178.3084,1470171
327680,64,Fragment Ēnotāja metode,11.2346,23333546
327680,64,Skaitļošanas Ēnotāja metode,12.0843,21692940
327680,128,Skanēšanas Līniju Metode,1508.152,1390544
327680,128,Startu Izsekošanas Metode,665.416,3151640
327680,128,Fragment Ēnotāja metode,21.0762,99503420
327680,128,Skaitļošanas Ēnotāja metode,24.8074,84537492
327680,256,Skanēšanas Līniju Metode,3380.2037,4963374
327680,256,Startu Izsekošanas Metode,2720.0581,6167962
327680,256,Fragment Ēnotāja metode,100.4953,166945280
327680,256,Skaitļošanas Ēnotāja metode,252.076,66556181
1310720,4,Skanēšanas Līniju Metode,203.9367,313
1310720,4,Startu Izsekošanas Metode,52.9395,1208
1310720,4,Fragment Ēnotāja metode,32.3026,1981
1310720,4,Skaitļošanas Ēnotāja metode,33.9514,1885
1310720,8,Skanēšanas Līniju Metode,367.2498,1394
1310720,8,Startu Izsekošanas Metode,64.041,7994
1310720,8,Fragment Ēnotāja metode,32.65,15681
1310720,8,Skaitļošanas Ēnotāja metode,33.2331,15406
1310720,16,Skanēšanas Līniju Metode,699.7956,5853
1310720,16,Startu Izsekošanas Metode,112.8847,36284
1310720,16,Fragment Ēnotāja metode,29.197,140288
1310720,16,Skaitļošanas Ēnotāja metode,34.7121,117999
1310720,32,Skanēšanas Līniju Metode,1382.9033,23695
1310720,32,Startu Izsekošanas Metode,263.064,124562
1310720,32,Fragment Ēnotāja metode,31.622,1036239
1310720,32,Skaitļošanas Ēnotāja metode,41.2629,794127
1310720,64,Skanēšanas Līniju Metode,2758.2715,95039
1310720,64,Startu Izsekošanas Metode,870.4675,301153
1310720,64,Fragment Ēnotāja metode,33.5681,7809314
1310720,64,Skaitļošanas Ēnotāja metode,38.252,6853086
1310720,128,Skanēšanas Līniju Metode,5587.1395,375353
1310720,128,Startu Izsekošanas Metode,3284.8703,638427
1310720,128,Fragment Ēnotāja metode,40.3453,51980133
1310720,128,Skaitļošanas Ēnotāja metode,54.6348,38384898
1310720,256,Skanēšanas Līniju Metode,11535.5631,1454390
1310720,256,Startu Izsekošanas Metode,13680.5842,1226352
1310720,256,Fragment Ēnotāja metode,124.9263,134296930
1310720,256,Skaitļošanas Ēnotāja metode,292.7016,57318489
