frame,events_ms,simulation_ms,render_ms,ui_ms,sim_gpu_ms,collision_gpu_ms,grid_gpu_ms,solver_gpu_ms,particles_n,frame_ms
360,0,16.0325,0,0,4.61999,0.374868,0.776308,0.863044,46344,20.5431
361,0,23.4646,0,0,5.60893,0.397644,0.810264,0.89726,46344,27.4301
362,0,8.31787,0,0,5.53088,0.39208,0.7943,0.886756,46344,21.0729
363,0,16.0044,0,0,5.72931,0.376584,0.805792,0.874692,46344,20.7195
364,0,17.989,0,0,4.78676,0.41392,0.785876,0.862888,46344,20.7677
365,0,13.9412,0,0,4.57018,0.372372,0.774748,0.864656,46344,21.1353
366,0,17.8899,0,2.00928,4.66279,0.377936,0.794248,0.882388,46344,21.1816
367,0,10.936,0,0,4.7111,0.380588,0.775996,0.863304,46344,20.474
368,0,16.1216,0,0,5.47742,0.384436,0.778856,0.885144,46344,27.6804
369,0,16.156,0,0,5.63945,0.423072,0.819936,0.901316,46344,20.4773
370,0,15.7183,0,0,5.7499,0.379912,0.803452,0.888108,46344,20.9231
371,0,31.5762,0,0,4.69274,0.402636,0.78104,0.878072,46344,20.7973
372,0,16.0344,0,0,4.66471,0.419848,0.788996,0.864604,46344,21.4419
373,0,16.0952,0,0,4.74438,0.381264,0.778284,0.863096,46344,20.5679
374,0,31.6523,0,0,4.75602,0.381316,0.7787,0.86866,46344,20.8125
375,0,15.76,0,0,5.45542,0.381264,0.779116,0.897572,46344,27.3881
376,0,15.9211,0.609619,0,5.60253,0.380484,0.778752,0.911404,46344,21.1782
377,0,15.448,0,0,5.63857,0.408044,0.779428,0.877864,46344,21.1072
378,0,16.0723,0,0,5.54934,0.387972,0.819208,0.874588,46344,20.2417
379,0,31.6519,0,0,4.66014,0.403104,0.778336,0.876772,46344,20.8683
380,0,18.948,0,0,4.97656,0.605436,0.775268,0.879632,46344,21.1635
381,0,13.0891,0,0,4.68395,0.393432,0.824252,0.864864,46344,20.7477
382,0,31.4265,0,0,4.66742,0.38272,0.77818,0.910312,46344,20.9589
383,0,15.9978,0,0,5.68402,0.387972,0.791648,0.920972,46344,27.3781
384,0,16.1409,0,0,5.58054,0.380224,0.777036,0.880048,46344,20.7796
385,0,15.7603,0,0,5.52495,0.379964,0.837408,0.879788,46344,21.0185
386,0,15.6992,0,0,5.57913,0.375492,0.806832,0.870116,46344,20.649
387,0,15.8291,0,15.8188,5.62895,0.402428,0.780156,0.865956,46344,20.8931
388,0,15.8428,0,0,4.78026,0.453856,0.86554,0.86788,46344,20.8812
389,0,15.8318,0,0,4.6136,0.375128,0.77948,0.865436,46344,21.1349
390,0,16.0544,0,0,4.73257,0.380952,0.777764,0.862524,46344,20.6637
391,0,16.084,0,0,4.64729,0.388752,0.795912,0.860496,46344,21.1625
392,0,16.0791,0,0,5.50311,0.377988,0.778752,0.890916,46344,27.2179
393,0,15.748,0,0,5.70742,0.40456,0.7995,0.908076,46344,21.3475
394,0,21.2449,0,0,5.69005,0.39416,0.813124,0.873392,46344,20.5212
395,0,10.2336,0,0,5.45974,0.404456,0.7969,0.8671,46344,20.6494
396,0,16.0588,0,0,4.64116,0.390936,0.784576,0.869544,46344,20.988
397,0,15.9421,0,0,4.7659,0.427076,0.783328,0.86164,46344,20.8864
398,0,16.0327,0,0,4.60663,0.374244,0.776308,0.862732,46344,20.843
399,0,31.6655,0,0,4.6254,0.379652,0.779116,0.865332,46344,20.8678
400,0,23.7341,0,0,4.78348,0.41002,0.79742,0.865592,46344,20.7691
401,0,7.75635,0,0,4.74692,0.376636,0.77844,0.864344,46344,20.803
402,0,15.7581,0,0,5.40462,0.39104,0.782756,0.899392,46344,27.4496
403,0,15.6614,11.645,0,5.48605,0.383188,0.782236,0.887484,46344,21.019
404,0,15.9399,0,0,5.67814,0.382408,0.777088,0.887536,46344,21.1015
405,0,15.9841,0,0,5.43093,0.376844,0.779688,0.88192,46344,20.7162
406,0,16.0532,0,0,5.47024,0.381368,0.776516,0.874796,46344,20.7114
407,0,31.4944,0,0,5.69759,0.404196,0.820248,0.885456,46344,21.0395
408,0,16.4832,0,0,5.65604,0.396968,0.793572,0.887796,46344,21.071
409,0,15.5305,0,0,4.67917,0.43992,0.784004,0.861952,46344,20.3609
410,0,31.5684,0,0,4.65676,0.376272,0.776516,0.881764,46344,21.0257
411,0,15.9031,0,0,4.84572,0.380536,0.798304,0.919984,46344,20.9413
412,0,15.8787,0,0,5.61954,0.379652,0.780572,0.915148,46344,27.3695
413,0,16.0115,0,0,5.60066,0.381316,0.775112,0.913224,46344,21.184
414,0,16.1177,0,0,5.48631,0.394628,0.79898,0.880048,46344,20.5355
415,0,16.1021,0,0,5.58589,0.380744,0.784264,0.8775,46344,20.8206
416,0,15.7666,0,0,5.44352,0.37466,0.778856,0.876616,46344,20.6146
417,0,25.093,0,0,5.4354,0.413816,1.52942,0.869804,46344,21.0199
418,0,10.2205,0,0,5.54731,0.43316,2.26975,0.865436,46344,20.6575
419,0,16.0193,0,0,4.90121,0.436124,0.869232,0.864188,46344,20.9513
420,0,15.7136,0,0,4.62816,0.375336,0.776672,0.86684,46344,21.1263
421,0,16.0239,0,0,4.56721,0.377364,0.775996,0.87204,46344,20.7176
422,0,15.9585,0,0,4.78816,0.377884,0.777556,0.946088,46344,20.9732
423,0,16.1218,0,0,4.72488,0.377884,0.77896,0.864292,46344,20.8607
424,0,15.9346,0,0,5.59655,0.486304,0.781924,0.9074,46344,27.329
425,0,15.8596,0,0,5.6614,0.374712,0.780364,0.882908,46344,20.9713
426,0,15.7263,0,0,5.70705,0.410436,0.907192,0.874744,46344,20.7601
427,0,32.2288,0,0,4.8398,0.415012,0.780364,0.876304,46344,20.7939
428,0,15.9709,0,0,4.9583,0.399776,0.806728,0.909376,46344,21.2703
429,0,16.011,0,0,5.84116,0.377208,0.778544,0.964912,46344,27.6423
430,0,15.9277,0,0,5.84241,0.381316,0.777348,0.875576,46344,20.4706
431,0,23.0056,0,0,4.95732,0.397904,0.775684,0.86736,46344,20.8178
432,0,24.397,0,0,4.93828,0.380484,0.776672,0.87126,46344,21.287
433,0,16.0654,0,0,5.8044,0.380016,0.779428,0.888004,46344,27.3347
434,0,15.9836,0,0,5.93715,0.380276,0.781768,0.880204,46344,21.0714
435,0,15.9546,0,0,4.96865,0.418444,0.796172,0.867048,46344,20.7725
436,0,15.6934,0,0,4.88857,0.377,0.777452,0.86216,46344,21.1186
437,0,31.4836,0,0,4.91899,0.390676,0.792064,0.884364,46344,20.7562
438,0,15.7383,0,0,5.65131,0.375336,0.778596,0.901732,46344,27.3905
439,0,17.5789,0.547119,0,5.66046,0.383292,0.786344,0.890032,46344,20.9699
440,0,18.6145,0,0.527588,5.68688,0.416208,0.78312,0.896532,46344,20.6213
441,0,16.437,0,0,4.90714,0.442572,0.793832,0.8658,46344,21.1687
442,0,20.6599,0.546143,0,4.8582,0.393276,0.786396,0.888628,46344,21.306
443,0,12.6807,0,0,5.62229,0.38142,0.820716,0.893516,46344,26.9437
444,0,14.5957,0,0,5.67091,0.390468,0.7774,0.882024,46344,21.4672
445,0,16.1353,0,0,5.61699,0.375596,0.798408,0.871364,46344,20.3848
446,0,16.0754,0,0,5.66108,0.447096,1.53468,0.863044,46344,20.7901
447,0,16.1128,0,0,4.8439,0.426868,0.782496,0.86476,46344,21.0304
448,0,15.7402,0,0,4.77792,0.383708,0.776516,0.865904,46344,21.1439
449,0,28.7869,0,0,4.75488,0.381316,0.778388,0.864812,46344,20.7253
450,0,15.7068,0,0,5.62344,0.382252,0.776464,0.887432,46344,27.3933
451,0,16.1267,0,0,5.55708,0.386672,0.775684,0.880672,46344,20.8774
452,0,15.8735,0,0,5.69967,0.39156,0.799968,0.881244,46344,21.234
453,0,15.7195,0,0,5.55506,0.3835,0.779948,0.866996,46344,20.4177
454,0,17.9856,0,0,4.69997,0.3705,0.776828,0.86632,46344,20.8116
455,0,15.9338,0,0,4.79612,0.37492,0.7748,0.910988,46344,21.3623
456,0,15.7678,0,0,4.71531,0.378144,0.773344,0.878592,46344,20.6518
457,0,16.1279,0,0,5.57617,0.37414,0.778596,0.909064,46344,27.565
458,0,15.7429,0,6.79248,5.58709,0.374504,0.777608,0.887016,46344,20.6099
459,0,8.94922,0,0,5.50248,0.37388,0.778752,0.879996,46344,20.8826
460,0,31.7871,0,0,5.58589,0.377624,0.777088,0.88374,46344,20.8111
461,0,15.895,0,0,5.63826,0.41392,0.797108,0.88452,46344,20.834
462,0,15.7976,0,0,4.76471,0.406172,0.783744,0.8658,46344,20.8282
463,0,32.0144,0,0,4.80386,0.394264,0.776672,0.917176,46344,21.1582
464,0,13.7607,0,0,4.73476,0.374816,0.781352,0.86372,46344,20.9246
465,0,15.8264,0,0,4.73637,0.377156,0.779896,0.865228,46344,20.7462
466,0,16.1589,0,0,5.6523,0.378352,0.805532,0.88894,46344,27.4372
467,0,16.0244,0,0,5.62432,0.38038,0.780936,0.884312,46344,20.8836
468,0,31.6887,0,0,5.58412,0.376844,0.78104,0.873236,46344,20.7739
469,0,15.7644,0,0,5.65354,0.426764,0.77896,0.868816,46344,20.8158
470,0,16.0007,0,0,4.77568,0.4017,0.781664,0.860444,46344,20.8664
