frame,frame_ms,events_ms,render_ms,mesh_deform_ms,simulation_ms,forces_ms,collision_ms,solver_ms,joints_ms,verts_deformed_n,faces_rendered_n,substeps_n,active_joints_n,broken_joints_n
31,1.0283,0.2446,0.5523,0.0105,22.3230,5.5560,0.8548,9.3075,2.8548,208353,69451,1,4972,12
32,1.0680,0.2696,0.5789,0.0111,21.1383,5.4330,0.9687,8.9557,2.0508,208353,69451,1,4970,14
33,1.0688,0.2320,0.5377,0.0102,21.2864,5.4271,0.8125,9.2215,2.2011,208353,69451,1,4968,16
34,1.4946,0.4157,0.8339,0.0136,21.2342,5.2254,0.9702,9.1258,2.1081,208353,69451,1,4966,18
35,1.3190,0.3954,0.6928,0.0097,21.4967,5.6721,0.8252,9.0484,2.0630,208353,69451,1,4964,20
36,0.8011,0.0326,0.5496,0.0097,21.4142,5.4693,0.9700,9.1032,2.2901,208353,69451,1,4962,22
37,0.9990,0.0336,0.7345,0.0283,21.5042,5.2351,0.9251,9.0945,2.4671,208353,69451,1,4960,24
38,1.6394,0.0338,1.3849,0.0102,21.5837,5.5240,0.8053,9.2097,2.2961,208353,69451,1,4958,26
39,0.8868,0.0323,0.6441,0.0108,24.4057,5.3142,1.0759,9.2861,2.6778,208353,69451,1,4956,28
40,1.2186,0.0317,0.9729,0.0106,22.8789,5.4537,0.9024,9.2024,2.2442,208353,69451,1,4954,30
41,1.0003,0.0365,0.7155,0.0118,22.7912,5.4221,0.8471,9.2796,2.2299,208353,69451,1,4952,32
42,1.0950,0.0318,0.8450,0.0226,22.0477,5.1724,0.8418,9.2697,1.8460,208353,69451,1,4950,34
43,0.9726,0.0329,0.7170,0.0097,23.3036,5.4647,1.0555,9.4691,2.5078,208353,69451,1,4948,36
44,1.0453,0.0331,0.7610,0.0105,22.0304,5.6198,0.8115,9.1113,1.9003,208353,69451,1,4946,38
45,1.1144,0.0351,0.8532,0.0213,22.5061,5.2566,0.8410,9.2937,2.2014,208353,69451,1,4944,40
46,1.1498,0.2855,0.6317,0.0110,21.8374,5.2710,0.8580,9.1834,1.8987,208353,69451,1,4942,42
47,1.2971,0.0328,1.0075,0.0214,23.2036,5.6894,1.0144,9.2121,2.0283,208353,69451,1,4940,44
48,0.8194,0.0318,0.5779,0.0099,21.8256,5.2328,0.7472,9.1690,1.9379,208353,69451,1,4938,46
49,1.3792,0.0318,1.1280,0.0096,22.2993,5.2948,0.9129,9.1655,2.0374,208353,69451,1,4936,48
50,1.1622,0.0365,0.8911,0.0104,23.5008,5.3333,0.7986,9.2706,1.9385,208353,69451,1,4934,50
51,1.0411,0.0328,0.7908,0.0104,20.8155,5.0934,0.8668,9.0687,2.0175,208353,69451,1,4932,52
52,1.4043,0.0474,1.0096,0.0176,21.7001,5.2319,0.8491,9.5467,2.3928,208353,69451,1,4930,54
53,1.1943,0.0538,0.7732,0.0129,21.1324,5.1457,0.9257,9.1508,2.1145,208353,69451,1,4928,56
54,0.8794,0.0359,0.6222,0.0106,21.5472,5.5756,0.8475,9.3512,1.9481,208353,69451,1,4926,58
55,0.9593,0.0316,0.7140,0.0103,21.0397,5.1844,0.8110,9.2155,1.9191,208353,69451,1,4924,60
56,0.9585,0.0318,0.7054,0.0094,21.0026,5.5093,0.8488,9.2673,2.1287,208353,69451,1,4922,62
57,1.5539,0.0616,1.0918,0.0125,22.1911,6.1863,0.7718,9.1028,1.9278,208353,69451,1,4920,64
58,1.2356,0.0353,0.9609,0.0104,21.6720,5.4641,0.8557,9.3070,2.1270,208353,69451,1,4918,66
59,1.6421,0.0391,1.1557,0.0116,20.9617,5.1285,1.0814,9.1331,1.8993,208353,69451,1,4916,68
60,1.2937,0.3762,0.6405,0.0117,23.0303,5.6369,1.0721,9.2292,3.2158,208353,69451,1,4914,70
61,1.0678,0.1097,0.7172,0.0113,21.3792,5.4185,0.8424,9.2096,2.1704,208353,69451,1,4912,72
62,0.8956,0.0334,0.6421,0.0102,21.8986,5.4577,1.0239,9.3142,2.1595,208353,69451,1,4910,74
63,1.0130,0.0412,0.7331,0.0093,21.3119,5.3982,0.8322,9.2372,2.0214,208353,69451,1,4908,76
64,1.0777,0.0333,0.8034,0.0113,21.5683,5.2313,0.9507,9.3103,2.0450,208353,69451,1,4906,78
65,0.9861,0.0348,0.6811,0.0123,21.6089,5.3006,0.8734,9.2475,2.2031,208353,69451,1,4904,80
66,0.8467,0.0320,0.6023,0.0132,21.2735,5.4174,0.8287,9.2084,1.9329,208353,69451,1,4902,82
67,1.4969,0.0317,1.2493,0.0096,21.7616,5.3529,0.9580,9.2366,2.2817,208353,69451,1,4900,84
68,150.7095,0.7255,0.7048,0.0092,22.0102,5.2890,0.8611,9.5364,2.4449,208353,69451,1,4898,86
69,14.9521,0.5501,1.2723,0.0104,21.6736,5.3752,0.8373,9.2837,2.2093,208353,69451,1,4896,88
70,13.8166,0.1216,0.5132,0.0075,21.1213,5.3207,0.9697,9.1866,1.8965,208353,69451,1,4894,90
71,14.3552,0.0312,0.7256,0.0087,22.1464,5.5591,0.9707,9.3653,2.2117,208353,69451,1,4892,92
72,14.0707,0.0335,0.7485,0.0091,20.2906,5.1420,0.8543,9.3283,1.9895,208353,69451,1,4890,94
73,14.3674,0.0382,0.9867,0.0088,21.0304,5.3503,0.9387,9.2595,2.3272,208353,69451,1,4888,96
74,14.0855,0.0302,0.8113,0.0102,21.2355,5.2403,0.8027,9.1869,2.1433,208353,69451,1,4886,98
75,13.9820,0.0309,0.5786,0.0086,20.9951,5.2960,0.8287,9.2907,1.8284,208353,69451,1,4884,100
76,14.5826,0.0453,0.5230,0.0083,21.8983,5.2267,0.9234,9.2145,2.2264,208353,69451,1,4882,102
77,13.8775,0.0389,0.5221,0.0078,20.7468,5.3358,1.0859,9.3037,2.0355,208353,69451,1,4880,104
78,14.0823,0.0379,0.5634,0.0098,20.4978,5.2774,0.8661,9.1896,2.2595,208353,69451,1,4878,106
79,13.8656,0.0295,0.6079,0.0097,20.4233,5.3413,0.8432,9.2886,2.0495,208353,69451,1,4876,108
80,13.6985,0.0292,0.5290,0.0084,20.5452,5.1864,0.9291,9.2623,2.2374,208353,69451,1,4874,110
81,14.2971,0.0339,0.9836,0.0098,20.8090,5.2614,0.9045,9.2948,2.1855,208353,69451,1,4872,112
82,14.0549,0.0275,0.5279,0.0090,20.4602,5.2303,0.8307,9.2740,2.1043,208353,69451,1,4870,114
