frame,frame_ms,events_ms,render_ms,mesh_deform_ms,simulation_ms,forces_ms,collision_ms,solver_ms,joints_ms,verts_deformed_n,faces_rendered_n,substeps_n,active_joints_n,broken_joints_n
51,1.0497,0.0553,0.7620,0.0103,57.0266,1.5687,3.3487,39.3217,7.8475,18960,6320,4,3291,112
52,1.5254,0.2551,1.0069,0.0125,56.9278,1.4146,3.3632,39.3883,8.3160,18960,6320,4,3283,120
53,1.7672,0.1326,1.4130,0.0394,56.2830,1.5059,3.4009,39.0455,7.9410,18960,6320,4,3275,128
54,1.0164,0.0357,0.7461,0.0110,54.5657,1.3445,3.3073,39.2019,7.8054,18960,6320,4,3267,136
55,0.8967,0.0322,0.6252,0.0104,54.9833,1.2074,3.2599,39.3165,8.2268,18960,6320,4,3259,144
56,0.8280,0.0302,0.5569,0.0104,56.0585,1.3193,3.2451,39.6991,8.5572,18960,6320,4,3251,152
57,1.2198,0.0378,0.9411,0.0130,58.7921,1.3618,3.5474,40.0527,9.3125,18960,6320,4,3243,160
58,1.1882,0.0389,0.9093,0.0147,57.2623,1.4910,3.3881,39.0830,8.6968,18960,6320,4,3235,168
59,1.0056,0.0355,0.7385,0.0119,57.5843,1.3511,3.7748,39.8352,8.7472,18960,6320,4,3227,176
60,0.9928,0.0360,0.7211,0.0108,57.6213,1.4437,3.5041,39.5554,9.2760,18960,6320,4,3219,184
61,0.9067,0.0341,0.6341,0.0110,57.9405,1.5100,3.4599,39.3286,9.2354,18960,6320,4,3211,192
62,1.0053,0.0306,0.7676,0.0133,57.1513,1.3678,3.7024,39.4202,9.1743,18960,6320,4,3203,200
63,1.5911,0.0321,1.3480,0.0135,57.0372,1.3027,3.6126,39.2661,8.5242,18960,6320,4,3195,208
64,1.0418,0.0321,0.7936,0.0108,54.4408,1.1905,3.1691,39.1025,8.4322,18960,6320,4,3187,216
65,0.9135,0.0305,0.6783,0.0110,61.8082,1.4627,3.6259,40.0897,11.0314,18960,6320,4,3179,224
66,0.8260,0.0320,0.5786,0.0101,56.9460,1.2706,3.3997,39.1859,8.7115,18960,6320,4,3171,232
67,1.0479,0.0339,0.7756,0.0152,57.5110,1.4150,3.4445,39.1802,9.1210,18960,6320,4,3163,240
68,0.9900,0.0845,0.6604,0.0100,57.4418,1.2363,3.1858,39.2833,9.2015,18960,6320,4,3155,248
69,1.3622,0.0341,1.0714,0.0233,58.5436,1.4055,3.3727,39.6064,10.2118,18960,6320,4,3147,256
70,1.2177,0.0332,0.9487,0.0105,57.9043,1.2375,3.1026,39.1151,9.2837,18960,6320,4,3139,264
71,1.0197,0.0294,0.7600,0.0137,58.6425,1.4574,3.3354,39.7443,10.3410,18960,6320,4,3131,272
72,0.9667,0.0328,0.6908,0.0111,59.5587,1.6138,3.3566,39.5465,9.5694,18960,6320,4,3123,280
