frame,events_ms,simulation_ms,render_ms,ui_ms,sim_gpu_ms,collision_gpu_ms,grid_gpu_ms,solver_gpu_ms,particles_n,frame_ms
118,0,0,0,0,0,0,0,0,32488,6.99103
119,0,0,0,0,0,0,0,0,32488,6.83784
120,0,0,0,0,0,0,0,0,32488,6.935
121,0,0,0,0,0,0,0,0,32488,7.20787
122,0,0,0,0,0,0,0,0,32488,6.71053
123,0,0,0,0,0,0,0,0,32488,6.97112
124,0,0,0,0,0,0,0,0,32488,7.01594
125,0,0,0,0,0,0,0,0,32488,6.8928
126,0,0,0,0,0,0,0,0,32488,6.92844
127,0,0,0,0,0,0,0,0,32488,6.91354
128,0,0,0,0,0,0,0,0,32488,7.04801
129,0,0,0,0,0,0,0,0,32488,6.8121
130,0,0,0,0,0,0,0,0,32488,7.08973
131,0,0,0,0,0,0,0,0,32488,6.85954
132,0,0,0,0,0,0,0,0,32488,7.13301
133,0,0,0,0,0,0,0,0,32488,6.7234
134,0,0,0,0,0,0,0,0,32488,6.98864
135,0,0,0,0,0,0,0,0,32488,7.14111
136,0,0,0,0,0,0,0,0,32488,6.66356
137,0,0,0,0,0,0,0,0,32488,6.99329
138,0,0,0,0,0,0,0,0,32488,7.05004
139,0,0,0,0,0,0,0,0,32488,6.8115
140,0,0,0,0,0,0,0,0,32488,6.93631
141,0,0,0,0,0,0,0,0,32488,6.97672
142,0,0,0,0,0,0,0,0,32488,6.87957
143,0,0,0,0,0,0,0,0,32488,6.99043
144,0,0,0,0,0,0,0,0,32488,7.00498
145,0,0,0,0,0,0,0,0,32488,6.84857
146,0,0,0,0,0,0,0,0,32488,6.93905
147,0,0,0,0,0,0,0,0,32488,6.92356
148,0,0,0,0,0,0,0,0,32488,7.39598
149,0,0,0,0,0,0,0,0,32488,6.57868
150,0,0,0,0,0,0,0,0,32488,6.97184
151,0,0,0,0,0,0,0,0,32488,6.94561
152,0,0,0,0,0,0,0,0,32488,6.80947
153,0,0,0,0,0,0,0,0,32488,7.09879
154,0,0,0,0,0,0,0,0,32488,6.8531
155,0,0,0,0,0,0,0,0,32488,6.95562
156,0,0,0,0,0,0,0,0,32488,6.97911
157,0,0,0,0,0,0,0,0,32488,6.97792
158,0,0,0,0,0,0,0,0,32488,6.87146
159,0,0,0,0,0,0,0,0,32488,6.92677
160,0,0,0,0,0,0,0,0,32488,6.93369
161,0,0,0,0,0,0,0,0,32488,7.94744
162,0,0,0,0,0,0,0,0,32488,6.10399
163,0,0,0,0,0,0,0,0,32488,6.96981
164,0,0,0,0,0,0,0,0,32488,6.99115
165,0,0,0,0,0,0,0,0,32488,6.83904
166,0,0,0,0,0,0,0,0,32488,7.04575
167,0,0,0,0,0,0,0,0,32488,7.00247
168,0,0,0,0,0,0,0,0,32488,6.8357
169,0,0,0,0,0,0,0,0,32488,7.39717
170,0,0,0,0,0,0,0,0,32488,6.89948
171,0,0,0,0,0,0,0,0,32488,7.24781
172,0,0,0,0,0,0,0,0,32488,7.18629
173,0,0,0,0,0,0,0,0,32488,5.57911
174,0,0,0,0,0,0,0,0,32488,7.29334
175,0,0,0,1.01074,0,0,0,0,32488,6.92689
176,0,0,0,1.02612,0,0,0,0,32488,7.00009
177,0,0,0,0,0,0,0,0,32488,6.78337
178,0,0,0,0,0,0,0,0,32488,6.92344
179,0,0,0,0,0,0,0,0,32488,7.01737
180,0,0,0,0,0,0,0,0,32488,7.02584
181,0,0,0,0.527344,0,0,0,0,32488,7.12144
182,0.520264,0,0,0.517822,0,0,0,0,32488,6.60706
183,0.516113,0,0,0.517334,0,0,0,0,32488,7.10487
184,0.518555,0,0,0,0,0,0,0,32488,6.69634
185,0.520996,0,0,0.519043,0,0,0,0,32488,6.99937
186,0.5271,0,0,0,0,0,0,0,32488,7.06375
187,1.04077,0,0,0,0,0,0,0,32488,7.42435
188,0.794434,0,0,0.523926,0,0,0,0,32488,6.32477
189,0,0,0,0.517578,0,0,0,0,32488,6.98912
190,0,0,0,0.531982,0,0,0,0,32488,7.09939
191,0.526367,0,0,0,0,0,0,0,32488,7.03013
192,0.521484,0,0,0,0,0,0,0,32488,6.88183
193,0.539307,0,0,0,0,0,0,0,32488,6.90103
194,0,0.827881,0,0,0,0,0,0,32488,6.70302
195,0,0,0,0,0,0,0,0,32488,6.96588
196,0,0,0,0,0,0,0,0,32488,6.87051
197,0,0,0,0,0,0,0,0,32488,6.82867
198,0,0,0,0,0,0,0,0,32488,7.10762
199,0,0,0,0,0,0,0,0,32488,6.91795
200,0,0,0,0,0,0,0,0,32488,6.95229
201,0,0,0,0,0,0,0,0,32488,6.953
202,0,0,0,0,0,0,0,0,32488,6.97434
203,0,0,0,0,0,0,0,0,32488,6.92487
204,0,0,0,0,0,0,0,0,32488,7.06279
205,0,0,0,0,0,0,0,0,32488,6.80757
206,0,0,0,0,0,0,0,0,32488,6.90639
207,0,0,0,0,0,0,0,0,32488,6.9983
208,0,0,0,0,0,0,0,0,32488,6.91855
209,0,0,0,0,0,0,0,0,32488,6.99854
210,0,0,0,0,0,0,0,0,32488,6.91283
211,0,0,0,0,0,0,0,0,32488,7.02429
212,0,0,0,0,0,0,0,0,32488,6.87981
213,0,0,0,0,0,0,0,0,32488,6.92654
214,0,0,0,0,0,0,0,0,32488,6.98328
215,0,0,0,0,0,0,0,0,32488,6.90424
216,0,0,0,4.82104,0,0,0,0,32488,7.14231
217,0,0,0,0,0,0,0,0,32488,6.76799
218,2.01025,0,0,0,0,0,0,0,32488,6.88934
219,0,0,0,0,0,0,0,0,32488,6.9387
220,13.9387,0,0,0,0,0,0,0,32488,6.8748
221,0,0,0,0,0,0,0,0,32488,6.92701
222,0,0,0,0,0,0,0,0,32488,6.9139
223,0,0,0,0,0,0,0,0,32488,7.08437
224,0,0,0,0,0,0,0,0,32488,6.95372
225,0,0,0,0,0,0,0,0,32488,6.91152
226,0,0,0,0,0,0,0,0,32488,6.96349
227,0,0,0,0,0,0,0,0,32488,7.02667
228,0,0,0,0,0,0,0,0,32488,6.88314
229,0,0,0,0,0,0,0,0,32488,6.95682
230,0,0,0,0,0,0,0,0,32488,6.94799
231,0,0,0,0,0,0,0,0,32488,6.92677
232,0,0,0,0,0,0,0,0,32488,7.3545
233,0,0,0,0,0,0,0,0,32488,6.50048
234,0,0,0,0,0,0,0,0,32488,7.01809
235,0,0,0,0,0,0,0,0,32488,6.91366
236,0,0,0,0,0,0,0,0,32488,6.96039
237,0,0,0,0,0,0,0,0,32488,6.9313
238,0,0,0,0,0,0,0,0,32488,6.93583
239,0,0,0,0,0,0,0,0,32488,6.97947
240,0,0,0,0,0,0,0,0,32488,6.91319
241,0,0,0,0,0,0,0,0,32488,6.85406
242,0,0,0,0,0,0,0,0,32488,6.9294
243,0,0,0,0,0,0,0,0,32488,7.72977
244,0,0,0,0,0,0,0,0,32488,6.57415
245,0,0,0,0,0,0,0,0,32488,6.70838
246,0,0,0,0,0,0,0,0,32488,6.78205
247,0,0,0,0,0,0,0,0,32488,7.17831
248,0,0,0,0,0,0,0,0,32488,7.00474
249,0,0,0,0,0,0,0,0,32488,6.64473
250,0,0,0,0,0,0,0,0,32488,7.31039
251,0,0,0,0,0,0,0,0,32488,6.54507
252,0,0,0,15.6865,0,0,0,0,32488,7.06029
253,0,0,0,0,0,0,0,0,32488,7.05194
254,0,0,0,0,0,0,0,0,32488,7.02071
255,0,0,0,0,0,0,0,0,32488,7.01284
256,0,0,0,0,0,0,0,0,32488,6.76441
257,0,0,0,0,0,0,0,0,32488,7.14159
258,0,0,0,0,0,0,0,0,32488,6.81376
259,0,0,0,0,0,0,0,0,32488,6.81829
260,0,0,0,0,0,0,0,0,32488,6.89101
261,0,0,0,0,0,0,0,0,32488,6.88601
262,0,0,0,0,0,0,0,0,32488,7.01666
263,0,0,0,0,0,0,0,0,32488,6.8624
264,0,0,0,0,0,0,0,0,32488,7.05838
265,0,0,0,0,0,0,0,0,32488,6.90532
266,0,0,0,0,0,0,0,0,32488,7.14231
267,0,0,0,0,0,0,0,0,32488,6.70838
268,0,0,0,0,0,0,0,0,32488,6.84595
