frame,frame_ms,events_ms,render_ms,mesh_deform_ms,simulation_ms,forces_ms,collision_ms,solver_ms,joints_ms,verts_deformed_n,faces_rendered_n,substeps_n,active_joints_n,broken_joints_n
74,13.8924,0.0366,0.9131,0.0106,12.7771,0.7217,5.9704,5.2896,0.5780,18960,6320,1,7488,20
75,13.8404,0.0330,0.9338,0.0112,12.6614,0.6006,6.1082,5.3049,0.5238,18960,6320,1,7488,20
76,14.0647,0.0329,0.7606,0.0072,12.4211,0.7485,5.7154,5.2694,0.5120,18960,6320,1,7488,20
77,13.6370,0.0250,0.7073,0.0078,12.6179,0.8065,5.7356,5.3372,0.5724,18960,6320,1,7488,20
78,13.6016,0.0374,0.7074,0.0076,12.7292,0.7182,5.8761,5.4276,0.5389,18960,6320,1,7488,20
79,13.7674,0.0333,0.7854,0.0090,12.1824,0.6560,5.5594,5.2732,0.5230,18960,6320,1,7488,20
80,14.4785,0.0379,1.3412,0.0105,12.7024,0.6126,6.0837,5.3481,0.5348,18960,6320,1,7488,20
81,13.4869,0.0268,0.7785,0.0078,12.8933,0.6568,6.0378,5.4407,0.6185,18960,6320,1,7488,20
82,13.5189,0.0261,0.7163,0.0083,13.0149,0.7944,6.1230,5.4660,0.4964,18960,6320,1,7488,20
83,13.4419,0.0296,0.7143,0.0084,12.7530,0.8355,5.8607,5.4175,0.4966,18960,6320,1,7488,20
84,13.5885,0.0277,0.7135,0.0086,12.5268,0.6426,5.8592,5.3823,0.5036,18960,6320,1,7488,20
85,13.5635,0.1489,0.7311,0.0084,12.8983,0.7935,5.8853,5.4912,0.5647,18960,6320,1,7488,20
86,13.9751,0.2202,0.9906,0.0087,12.6806,0.7432,5.9019,5.3843,0.4779,18960,6320,1,7488,20
87,13.9473,0.1445,1.1953,0.0144,12.4300,0.6214,5.8329,5.3616,0.5017,18960,6320,1,7488,20
88,13.8066,0.1568,0.7427,0.0076,13.0769,0.8534,5.8451,5.4693,0.6136,18960,6320,1,7488,20
89,14.0971,0.2812,0.7458,0.0088,12.5368,0.6292,5.7518,5.4575,0.5460,18960,6320,1,7488,20
90,13.6176,0.1548,0.7460,0.0075,12.4711,0.7122,5.6448,5.4453,0.5142,18960,6320,1,7488,20
