frame,frame_ms,events_ms,render_ms,mesh_deform_ms,simulation_ms,forces_ms,collision_ms,solver_ms,joints_ms,verts_deformed_n,faces_rendered_n,substeps_n,active_joints_n,broken_joints_n
0,3.4820,1.0508,2.1784,0.0045,138.5440,1.2815,115.7455,20.7541,0.5435,208353,69451,1,4761,0
1,1.5535,0.2310,1.0653,0.0386,11.6971,1.6828,6.7360,2.6041,0.4061,208353,69451,1,4761,0
2,1.0772,0.0334,0.8185,0.0142,10.5447,1.0698,6.3739,2.5370,0.4075,208353,69451,1,4761,0
3,1.2624,0.0331,1.0088,0.0120,10.4613,1.1266,6.2914,2.4738,0.4004,208353,69451,1,4761,0
4,1.0939,0.0474,0.8074,0.0133,10.3138,1.1207,6.2624,2.3982,0.3794,208353,69451,1,4761,0
5,1.1877,0.0346,0.9306,0.0122,10.4569,1.0952,6.2982,2.4381,0.4670,208353,69451,1,4761,0
6,1.2541,0.0337,0.9721,0.0113,10.5531,1.1779,6.2861,2.5525,0.3888,208353,69451,1,4761,0
7,1.4958,0.0750,1.1350,0.0211,10.6263,1.1133,6.3845,2.5092,0.4486,208353,69451,1,4761,0
8,1.5654,0.0343,1.2936,0.0150,10.4171,1.0533,6.3121,2.4705,0.4366,208353,69451,1,4761,0
9,1.2113,0.0505,0.9477,0.0115,10.8384,1.1155,6.3777,2.7242,0.4769,208353,69451,1,4761,0
10,3.3231,0.0325,3.0634,0.0148,10.5443,1.0152,6.1664,2.7040,0.5198,208353,69451,1,4761,0
11,1.3286,0.0288,1.0899,0.0102,10.5976,1.0586,6.3842,2.5625,0.4598,208353,69451,1,4761,0
12,1.5519,0.0363,1.2876,0.0114,11.1675,0.9971,6.4482,3.0988,0.4962,208353,69451,1,4761,0
13,1.2575,0.0325,1.0064,0.0118,10.3383,0.9923,6.2929,2.5115,0.4076,208353,69451,1,4761,0
14,1.2715,0.0547,0.9808,0.0127,10.4819,0.9992,6.2626,2.5409,0.5185,208353,69451,1,4761,0
15,1.0647,0.0344,0.7954,0.0124,10.6023,1.1484,6.2117,2.6950,0.4328,208353,69451,1,4761,0
16,1.6252,0.0347,1.3494,0.0404,11.4782,1.4683,6.6265,2.7731,0.4381,208353,69451,1,4761,0
17,1.2183,0.0453,0.8659,0.0146,9.0064,1.0556,5.0520,2.3498,0.3894,208353,69451,1,4761,0
18,1.0365,0.0347,0.7715,0.0125,9.5046,1.0657,4.9489,2.7654,0.5288,208353,69451,1,4761,0
19,1.0490,0.0338,0.7938,0.0124,8.9106,1.0631,4.9633,2.3249,0.4282,208353,69451,1,4761,0
20,1.1253,0.0347,0.8450,0.0138,9.0221,1.1501,4.9793,2.3401,0.3889,208353,69451,1,4761,0
21,1.0301,0.0340,0.7528,0.0127,8.9280,1.0286,4.9727,2.4090,0.3727,208353,69451,1,4761,0
22,1.1017,0.0460,0.8084,0.0130,8.8830,1.1627,4.8403,2.3598,0.3723,208353,69451,1,4761,0
23,1.3187,0.0379,1.0170,0.0131,8.9045,1.0891,4.9035,2.3777,0.3806,208353,69451,1,4761,0
24,1.0746,0.0371,0.8109,0.0142,8.5122,0.9650,4.7871,2.3120,0.3497,208353,69451,1,4761,0
