frame,frame_ms,events_ms,render_ms,mesh_deform_ms,simulation_ms,forces_ms,collision_ms,solver_ms,joints_ms,verts_deformed_n,faces_rendered_n,substeps_n,active_joints_n,broken_joints_n
51,0.9838,0.0256,0.7575,0.0105,7.5977,0.6389,4.3186,2.0958,0.3745,18960,6320,1,3299,44
52,0.9699,0.0323,0.6858,0.0134,7.2309,0.6144,4.1915,1.9550,0.3341,18960,6320,1,3299,44
53,0.9378,0.0358,0.6443,0.0122,7.2885,0.7439,4.1696,1.9145,0.3177,18960,6320,1,3299,44
54,0.8601,0.0253,0.6395,0.0214,7.7368,0.6486,4.5612,2.0377,0.3362,18960,6320,1,3299,44
55,0.8504,0.0269,0.6171,0.0102,8.0372,0.8688,4.6739,1.9793,0.3379,18960,6320,1,3299,44
56,0.7514,0.0209,0.5616,0.0099,7.6630,0.6591,4.6239,1.8959,0.3177,18960,6320,1,3299,44
57,0.8962,0.0285,0.6601,0.0212,7.2300,0.5434,4.3396,1.9092,0.3209,18960,6320,1,3299,44
58,0.9507,0.0286,0.7033,0.0108,7.5076,0.6212,4.5587,1.9096,0.2815,18960,6320,1,3299,44
59,1.8901,0.0439,1.5117,0.0122,7.5709,0.5712,4.5862,1.9218,0.3859,18960,6320,1,3299,44
60,1.6756,0.0300,1.4198,0.0128,7.8693,0.7362,4.7105,1.9144,0.3452,18960,6320,1,3299,44
61,1.5239,0.0294,1.2864,0.0114,7.5822,0.6354,4.5447,1.8842,0.3678,18960,6320,1,3299,44
62,0.8580,0.0256,0.6287,0.0104,7.4503,0.6725,4.3517,1.9055,0.3590,18960,6320,1,3299,44
63,1.9316,0.0377,1.4819,0.0193,7.4016,0.6361,4.3956,1.8623,0.3556,18960,6320,1,3299,44
64,0.7176,0.0199,0.5236,0.0091,7.8375,0.5452,4.6151,2.0476,0.5189,18960,6320,1,3299,44
65,4.0209,0.0595,3.5081,0.0313,7.6200,0.5864,4.6210,1.9240,0.3504,18960,6320,1,3299,44
66,0.6587,0.0182,0.4883,0.0078,7.5709,0.5894,4.5424,1.9010,0.3699,18960,6320,1,3299,44
67,2.1548,0.0340,1.7325,0.0093,8.0172,0.6300,4.7989,2.0404,0.3949,18960,6320,1,3299,44
68,1.1079,0.0207,0.8529,0.0107,7.3525,0.5985,4.4272,1.8603,0.3497,18960,6320,1,3299,44
69,2.9061,0.0474,2.4406,0.0251,7.6983,0.6779,4.5740,1.9486,0.3412,18960,6320,1,3299,44
70,0.7193,0.0198,0.5431,0.0088,7.5216,0.7052,4.3567,1.8796,0.4373,18960,6320,1,3299,44
71,0.9068,0.0305,0.7120,0.0094,7.6331,0.6435,4.5993,1.9051,0.3342,18960,6320,1,3299,44
72,0.8078,0.0207,0.6072,0.0202,7.7489,0.7034,4.6336,1.9151,0.3267,18960,6320,1,3299,44
73,0.7156,0.0189,0.5386,0.0090,7.7012,0.7605,4.5976,1.8747,0.3162,18960,6320,1,3299,44
74,0.7760,0.0218,0.5807,0.0088,7.4590,0.6451,4.4475,1.9016,0.3203,18960,6320,1,3299,44
75,3.0476,0.0505,2.6127,0.0184,7.1260,0.5061,4.3117,1.8823,0.3268,18960,6320,1,3299,44
